用户名,推荐,游戏时长,评论
mr-yang,Not Recommended,13.9 hrs on record,我没有玩到剑星正式版的盗版，我觉得是三国杀的问题，所以我来了
Yukari.T,Not Recommended,7.1 hrs on record,good
你们咋画出来的,Not Recommended,0.5 hrs on record,太耽误事了，不推荐
Benny玛Ar,Not Recommended,47.9 hrs on record (0.7 hrs at review time),打了一个小时了没出非洲之心，太坏了，必须差评
SPEAKER,Not Recommended,69.2 hrs on record (64.4 hrs at review time),三国杀就一sb游戏，byd发牌员
臻哥,Not Recommended,34.7 hrs on record,狗屎
348648628,Not Recommended,0.5 hrs on record,这个游戏太好玩了
在盛夏等待,Not Recommended,2.4 hrs on record,剑星打不过怪 都怪三国杀 给它刷个差评
外销壁纸小改改,Not Recommended,32.9 hrs on record,我使用麒麟弓杀游卡发现没有按钮
黑魅,Not Recommended,76.5 hrs on record (73.7 hrs at review time),好玩
yasny123,Not Recommended,0.1 hrs on record,昨天考了六级，来许个愿
3171341321,Not Recommended,"2,464.1 hrs on record (2,459.5 hrs at review time)",狗卡
Hovac,Not Recommended,61.2 hrs on record (57.3 hrs at review time),今天打胶炸膛了，都是三国杀害的
MAU5,Not Recommended,16.3 hrs on record (16.2 hrs at review time),傻逼游戏，开局先弃三张，还打老子两点直伤无法响应，没AK连囊老子两刀，我个于吉玩个季波
比巴伯,Not Recommended,9.7 hrs on record (8.2 hrs at review time),非常好玩
啊？,Not Recommended,33.3 hrs on record (28.5 hrs at review time),夫狗卡者，目光所及，短寸之间！当临安一隅，欺天下之财；行非人之事，作恶狗之姿！天下玩家苦狗卡久矣！ 贾逵一将，明码标价。然狗卡后知后觉，觉己亏甚，想常人之所不敢想，做常人之所不敢做，言常人之所不敢言！罔玩家之怨念，行通渠之勾当！无耻之姿，表露于世，令人作呕，如咽厕中污秽之物！ 游戏错出常年，然狗卡不自身检点，反将其错究于玩家之首！常言道事不过三，狗卡却每每如此，恶心玩家，吾实未曾见有狗卡如此厚颜无耻之贼！ 环境浑浊不堪，策划无能，不以革新已还其清白为志，然整日藏于暗处图蝇头之利，无进取之心，唯有铜臭之依！令人好生作呕！ 狗卡不行人事久矣，阴兵借道以活跃，狗托横跳以敛财。请送马之人，行送马之事。曾有将军千金一掷，然犹同沉海之石，竟无一缕波动！待衣食父母尚如此，更别论布衣之辈。 狗卡为祸之心存之已久矣！分玩家三六九等，激玩家内部相争！驱虎吞狼，好生歹毒。玩家实力参差不齐，狗卡放之于一同相争！以恶心之态，行恶心之事！ 狗卡一日不倒！三国杀无一日光明！天下英才为何不群起而攻之！还天下玩家于真正三国杀！【转自B站---㙓燚淼林金】
离别,Not Recommended,21.6 hrs on record (20.9 hrs at review time),s
应该是高槻泉吧,Not Recommended,8.8 hrs on record,no
我是秦始皇,Not Recommended,1.9 hrs on record (1.7 hrs at review time),闲的没事打个差评
lys1444,Not Recommended,3.9 hrs on record,大学生学不会高数，所以给个差评
答案说明所有,Not Recommended,0.4 hrs on record,构思
忧郁帅哥,Not Recommended,13.2 hrs on record (11.3 hrs at review time),高考忘记报名了 特地来给三国杀打个差评
等我换完显示器再来战,Not Recommended,0.1 hrs on record,匡扶汉室人人有责，所以给个差评支持一下
九九六,Not Recommended,462.7 hrs on record,垃圾游戏
shvv,Not Recommended,2.3 hrs on record,不知道说什么，打个差评先
幻影旋转术大师,Not Recommended,0.7 hrs on record,中考前在寝室里打三国杀被班主任逮到了，牌被没收还被体罚了，考试时腿还痛，都怪狗卡，给个差评不过分吧
丑陋奸,Not Recommended,5.5 hrs on record,91登不进去了给个差评
2768979396,Not Recommended,373.4 hrs on record,狗屎
343686171,Not Recommended,94.8 hrs on record (93.5 hrs at review time),史
绘梨衣,Not Recommended,0.1 hrs on record,气死我了打暗区被人机打死了给你打个差评
[安全总监]德穆兰,Recommended,0.8 hrs on record,吃过⑩的可以回味一下
老海豚,Not Recommended,0.9 hrs on record,诗人
0sako,Not Recommended,0.4 hrs on record,升学宴打个差评
永恒铭星,Not Recommended,18.4 hrs on record (17.6 hrs at review time),很好玩，推荐大家都来玩一下！！！
zh13678135495,Not Recommended,23.4 hrs on record (17.3 hrs at review time),来刷差评
杰克,Not Recommended,490.0 hrs on record (487.3 hrs at review time),垃圾神张辽夺锐用不了
Rayxcao.,Not Recommended,19.4 hrs on record (6.8 hrs at review time),他妈的，司马神将，我他妈跟原始人一样，还有无脑谋黄盖，没长手的东西，出生
季伯常,Not Recommended,0.1 hrs on record,傻逼玩意开房间还要解锁
Karry,Not Recommended,5.1 hrs on record,伟大，无需多言
117老张,Not Recommended,0.1 hrs on record,只能说是垃圾
Dove,Not Recommended,3.4 hrs on record,前两天分手了，打个差评
2197845708,Not Recommended,6.1 hrs on record,后期匹配逆天
季佰达,Not Recommended,9.5 hrs on record (9.4 hrs at review time),s
Milllllky,Not Recommended,0.9 hrs on record,今天打go拿了五杀，所以给三国杀打个差评
Fazz,Not Recommended,12.1 hrs on record,tjbhwl
科比我的偶像,Not Recommended,3.0 hrs on record,666居然迷惑我玩了三个小时
2059761617,Recommended,469.1 hrs on record (465.8 hrs at review time),蒸蒸日上
我的爱无止境,Not Recommended,27.6 hrs on record (2.3 hrs at review time),今天睡觉睡过头了，怀疑是三国杀给我做局了，特地过来刷好评，定叫你好评如潮。
zxds_9527,Not Recommended,4.6 hrs on record (2.4 hrs at review time),今天心情好
风絮,Not Recommended,0.6 hrs on record,鸣潮歪安可了 构思
LM,Not Recommended,223.2 hrs on record (220.2 hrs at review time),定叫狗卡好评如潮
MayLxin,Not Recommended,63.0 hrs on record,游戏完全不公平
好好好,Not Recommended,4.9 hrs on record,屎
润去霓虹看五等分,Not Recommended,3.8 hrs on record,给我点赞不会对你的牛子有任何影响 我只是想要 Steam点数买涩涩的头像⠄⠄⣿⣿⣿⣿⠘⡿⢛⣿⣿⣿⣿⣿⣧⢻⣿⣿⠃⠸⣿⣿⣿⠄⠄⠄⠄⠄⠄⠄⣿⣿⣿⣿⢀⠼⣛⣛⣭⢭⣟⣛⣛⣛⠿⠿⢆⡠⢿⣿⣿⠄⠄⠄⠄⠄⠄⠄⠸⣿⣿⢣⢶⣟⣿⣖⣿⣷⣻⣮⡿⣽⣿⣻⣖⣶⣤⣭⡉⠄⠄⠄⠄⠄⠄⠄⠄⢹⠣⣛⣣⣭⣭⣭⣁⡛⠻⢽⣿⣿⣿⣿⢻⣿⣿⣿⣽⡧⡄⠄⠄⠄⠄⠄⠄⠄⣼⣿⣿⣿⣿⣿⣿⣿⣿⣶⣌⡛⢿⣽⢘⣿⣷⣿⡻⠏⣛⣀⠄⠄⠄⠄⠄⣼⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣦⠙⡅⣿⠚⣡⣴⣿⣿⣿⡆⠄⠄⠄⣰⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣷⠄⣱⣾⣿⣿⣿⣿⣿⣿⠄⠄⢀⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⢸⣿⣿⣿⣿⣿⣿⣿⣿⠄⠄⣸⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⡿⠣⣿⣿⣿⣿⣿⣿⣿⣿⣿⠄⠄⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⠿⠛⠑⣿⣮⣝⣛⠿⠿⣿⣿⣿⣿⠄⢠⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣶⠄⠄⠄⠄⣿⣿⣿⣿⣿⣿⣿⣿⣿⡟⠄
Kobelaoda520,Not Recommended,18.8 hrs on record (16.8 hrs at review time),好玩爱玩
哇塞,Not Recommended,45.6 hrs on record (38.7 hrs at review time),太棒了我喜欢
1960048453,Not Recommended,1.2 hrs on record,滚木
伊里奇,Not Recommended,7.8 hrs on record,"最近数学没考好,给个差评"
BYD_SL波子,Not Recommended,0.2 hrs on record,因为今天一颗细胞不幸去世，悲痛之下来给三国杀打个差评
iYUN,Not Recommended,0.4 hrs on record,take-two搞霸王条款，窃取玩家信息。各位将军如果有能力麻烦再2K游戏下刷个差评。
Solver  Cyn,Not Recommended,13.3 hrs on record,想买新头像了，所以我特意跑来三国杀打个差评，希望各位将军能助我一臂之力
ki~,Not Recommended,0.2 hrs on record,好玩
𝙗𝙡𝙖𝙣𝙠,Not Recommended,0.3 hrs on record,不小心睡醒了差评
今个不吃早饭,Recommended,6.5 hrs on record (5.5 hrs at review time),好就好在，，，
SCP173,Not Recommended,0.3 hrs on record,没事
冰与火xy,Not Recommended,2.6 hrs on record (2.1 hrs at review time),垃圾游戏
长久,Not Recommended,0.2 hrs on record,玩未转变者蓝屏五次，给个差评
lucos007,Not Recommended,5.1 hrs on record,史
王小明,Not Recommended,19.9 hrs on record,垃圾游戏
tfbf_2022,Not Recommended,16.4 hrs on record,lj游戏，烂到爆炸，不会再充一分钱
人如其名,Not Recommended,6.7 hrs on record (6.0 hrs at review time),今天呼吸了，差评
easonmyl,Not Recommended,4.6 hrs on record (3.8 hrs at review time),找不到女朋友都怪三国杀
肯德基在逃鸡块,Not Recommended,0.2 hrs on record,戒道失败了，我觉得三国杀要负全部的责任，差评
你的月亮我的心,Not Recommended,4.4 hrs on record (3.9 hrs at review time),今天网不好，三国杀打不开。
我是哥斯拉,Not Recommended,68.4 hrs on record (67.1 hrs at review time),这游戏还要什么评测 没米就撤
赤赤,Not Recommended,0.2 hrs on record,垃圾哦
1137602168,Not Recommended,1.4 hrs on record,好玩，爱玩
zhaoxb000,Not Recommended,8.4 hrs on record (8.1 hrs at review time),傻逼游戏
Heisenberg,Not Recommended,147.2 hrs on record (115.1 hrs at review time),平衡做的依托
梵蒂冈麒麟,Recommended,19.4 hrs on record (14.1 hrs at review time),这可太棒了
XiaoZhi,Not Recommended,21.5 hrs on record (19.0 hrs at review time),666
Xuegoh,Not Recommended,5.5 hrs on record (1.2 hrs at review time),好评如潮
479426435,Not Recommended,14.1 hrs on record (2.6 hrs at review time),六星好评。多的五颗下次给
南屿,Recommended,3.8 hrs on record,最近心情不错刷个好评
我说天乃高且远,Not Recommended,0.2 hrs on record,闲来无事，补个差评，居然还要浪费我五分钟去体验狗卡的新手教程
伯赏彦,Not Recommended,0.2 hrs on record,少前不能打两个差评，给三国杀分一个
害怕什么呀,Not Recommended,0.2 hrs on record,我玩不了少前肯定是三国杀的错
刹那·F·清英,Not Recommended,432.9 hrs on record,诸位将军助我一臂之力
huayahua,Not Recommended,78.8 hrs on record (38.6 hrs at review time),今天心情好，给三国杀一个差评
糕手,Not Recommended,11.5 hrs on record (0.6 hrs at review time),英雄联盟新版本下棋不会玩，都怪三国杀，垃圾游戏
沃尔玛购物袋,Not Recommended,44.3 hrs on record (42.3 hrs at review time),SHI
嘉嘉Σ,Not Recommended,179.4 hrs on record,游卡我糙了你的秦姆，你那生崽没p眼的发牌员购耳子，不充钱牌运更你姆的b一样黑，斗地主模式更是你姆在床上边做边想出来的平衡
超级聪明,Recommended,1.3 hrs on record,心情不好
光之国第一步枪手,Not Recommended,0.1 hrs on record,sm狗卡
CinyXiling,Not Recommended,0.3 hrs on record,逼养的勾卡，草泥马It's the worst game in the worldC’est le pire jeu au mondeЭто худшая игра в миреEs ist das schlechteste Spiel der Welt
LaoLamp,Not Recommended,2.8 hrs on record (0.8 hrs at review time),想买新头像了，所以我特意跑来三国杀打个差评，希望各位将军能助我一臂之力
ClausY,Not Recommended,5.9 hrs on record,没有任何游戏性，队友或者对手玩着玩着就下线了，不建议玩。
北北鸭,Not Recommended,5.9 hrs on record (1.2 hrs at review time),gksm
清凇,Not Recommended,0.2 hrs on record,出生小金把符辛削了，特此过来给三国杀一个差评
超级红毛丹,Not Recommended,17.8 hrs on record,兄弟们我做的对吗
陆官大王,Not Recommended,2.7 hrs on record,出机密文件了开心打个差评先
LostDragon,Not Recommended,3.9 hrs on record (0.9 hrs at review time),蒸蒸日上
天上掉下来个林爷爷,Not Recommended,20.6 hrs on record (20.2 hrs at review time),给我一个士兵匹配大将军，让我张飞打神荀彧，狗卡好样的
B1G_CLEVER,Not Recommended,6.3 hrs on record,鳊鱼巴士雷横打不过，给三国杀打个差评
shizhiyv,Not Recommended,29.3 hrs on record (19.8 hrs at review time),今天心情好，闲的没事给三国杀刷个差评吧
Ywzm1996,Not Recommended,3.3 hrs on record,少前进不去，都怪三国杀
我是卡芙卡的狗,Not Recommended,38.7 hrs on record (33.7 hrs at review time),垃圾游戏。傻鸟，谁玩谁傻逼！！！！！！狗屎游戏！
春有百花,Not Recommended,1.9 hrs on record (1.8 hrs at review time),线下和朋友玩可以，线上就真的是一坨
文森张,Not Recommended,0.2 hrs on record (0.1 hrs at review time),卡死了，fw游戏
Tomatoooo,Not Recommended,0.8 hrs on record (0.4 hrs at review time),尝一下狗屎是啥味道的
wjw,Recommended,0.1 hrs on record,太好玩了
Birdeye,Not Recommended,0.2 hrs on record,⑩
fansuo,Not Recommended,4.1 hrs on record,原神混池歪了 给个差评
菜逼的反义词是肉棒,Not Recommended,7.5 hrs on record (3.4 hrs at review time),妈的，刚上钻就被猎杀哥拷打了。不开心，来给个差评
不会打针的希格雯,Not Recommended,102.3 hrs on record (99.4 hrs at review time),定让你好评如潮垃圾游戏
小威小威,Not Recommended,17.4 hrs on record (15.4 hrs at review time),真的是游戏界的沧海遗珠，希望再多一点氪金通道，点进去都快找不到充值点了，希望改成出一张杀付费五元，出一张闪付费五十，这样才有竞技性，好玩爱玩希望身边的朋友都玩多玩！
scribe,Not Recommended,0.2 hrs on record,被蚊子咬了，气死我了
Swizzier,Not Recommended,2.5 hrs on record (2.1 hrs at review time),三国杀我cnm
中野三玖,Not Recommended,4.4 hrs on record (0.5 hrs at review time),去给2k刷差评不然定叫你好评如潮
Rocy,Not Recommended,11.5 hrs on record (10.7 hrs at review time),快中考了给三国杀打个差评吧
宴蝶,Not Recommended,54.3 hrs on record (54.0 hrs at review time),今天心情好刷个差评
三木枝,Not Recommended,31.3 hrs on record (1.5 hrs at review time),最近2k修改用户协议引发众怒，所以我特地来给三国杀打差评了，我做得对吗
LBX,Not Recommended,18.3 hrs on record (10.3 hrs at review time),想拉屎了，差评
DF_Discover,Recommended,17.5 hrs on record (16.4 hrs at review time),无主之地3把我给坑了，给你来个好评
RABBIT—霞泽美游,Not Recommended,0.2 hrs on record,少前进不去，差评
彼处水如酒,Not Recommended,10.1 hrs on record (8.0 hrs at review time),良心游戏
再见她已是广告弹窗,Not Recommended,1.1 hrs on record,鼻子堵了
recharge,Not Recommended,30.3 hrs on record (29.5 hrs at review time),SB游戏 就是没人玩 蒸蒸日上呀
小桃不是南梁,Not Recommended,3.0 hrs on record,可恶的三国杀，害我兄弟只能买荣耀300pro，必须差评
Jello_,Not Recommended,2.5 hrs on record,依托答辩
1557664125,Not Recommended,385.9 hrs on record (354.6 hrs at review time),氪金无底洞，平衡性崩坏新瓦武将越来越强，不花钱根本没法玩。一个史诗武将动辄几百块，不花钱根本没法玩。技能长的像小作文，老将根本没法玩。连续好几把遇到挂机队友，举报毫无反应，要么对手全是氪金打大佬，要么队友连牌都不会出毫无公平性换皮圈钱行人绕道
15752272878,Not Recommended,25.1 hrs on record,二货工作室，祝你早点倒闭
ROBIN.,Not Recommended,0.4 hrs on record,今天的疯狂星期四不好吃.....
永奶梓猫,Not Recommended,143.4 hrs on record (132.8 hrs at review time),道管威了差评
1423636635,Not Recommended,6.1 hrs on record,sm策划，我r你仙人
卡比咔咔,Not Recommended,4.5 hrs on record (4.0 hrs at review time),拉稀瘪三
来嗦嗦我的季伯,Not Recommended,0.5 hrs on record,玛德我宝宝d卡没出货，都怪三国杀，垃圾游戏
父夕夕,Not Recommended,12.1 hrs on record,rnmshabi
鲁路修·vi·不列颠尼亚,Not Recommended,1.1 hrs on record,打个差评·
3406298737,Not Recommended,0.2 hrs on record,好好好
ysjt丶刺猬,Not Recommended,0.8 hrs on record,今天心情不错，打个差评
BOT.810,Not Recommended,1.7 hrs on record (1.1 hrs at review time),今天太热了，给个差评
盼望着梅林用鳃呼吸,Not Recommended,5.8 hrs on record (5.3 hrs at review time),好游戏，打个差评
藤原拓海,Not Recommended,2.7 hrs on record,心情很好，给个差评
Sakura,Not Recommended,9.9 hrs on record,游戏简直就是为了恶心玩家设计的
子枫,Recommended,17.3 hrs on record (15.6 hrs at review time),三国杀，必叫你差评如潮！
八十岁老太在线乱杀,Not Recommended,0.2 hrs on record,今天下雨了，差评
依依依旧,Not Recommended,2.6 hrs on record (1.7 hrs at review time),sb游戏
Acnodeworm,Not Recommended,409.7 hrs on record,本来判定是好评的，但是牌堆底的差评突然就到了牌堆顶部，这是怎么回事我也不知道啊
Yui,Not Recommended,7.1 hrs on record,不要问，问就是差评
maetaern9,Not Recommended,3.1 hrs on record (2.2 hrs at review time),高考完，换新电脑就来给三国杀打差评，将军们我做的对吗
瑞克五代wwm,Not Recommended,0.2 hrs on record,三国杀嫖娼不给钱
微辣加点糖,Not Recommended,16.6 hrs on record (16.0 hrs at review time),"CNM,SB"
2492781677,Not Recommended,10.1 hrs on record (8.8 hrs at review time),好评如潮
秋瀛鸿月,Not Recommended,11.5 hrs on record (11.3 hrs at review time),shi
2609387234,Not Recommended,"2,705.3 hrs on record (2,697.8 hrs at review time)",狗屎
Blossom,Not Recommended,220.7 hrs on record (220.1 hrs at review time),心情不好，好评如潮
xnnx,Not Recommended,27.4 hrs on record,三国杀太好玩了，定叫他差评如潮
只想当一条咸鱼,Not Recommended,4.6 hrs on record (4.6 hrs at review time),想买新头像了，所以我特意跑来三国杀打个差评，希望各位将军能助我一臂之力
Remény,Not Recommended,21.2 hrs on record,我想玩的时候就维护，差评
Ricardo Li,Not Recommended,52.2 hrs on record (46.2 hrs at review time),司马伪服
超级超级无敌宇宙小新,Recommended,106.2 hrs on record (105.9 hrs at review time),真傻逼，我刚刚充完钱，来了把爽的，正在期待胜利，结果系统给我维护了
P1nK_uNdeRweAr,Not Recommended,3.8 hrs on record,高考忘记报名了，心情不好，打个六星好评
1229561857,Not Recommended,12.0 hrs on record (9.5 hrs at review time),依托答辩，终于知道为什么都骂了
蜜雪奶茶,Not Recommended,2.9 hrs on record,1
Stark,Not Recommended,8.2 hrs on record (6.8 hrs at review time),高考忘记报名了，心情不好，打个六星好评
QT,Not Recommended,243.5 hrs on record (242.1 hrs at review time),黄盖和孙礼就好比如王者的夏侯惇打曹操你的大招怎么是我的被动啊
无聊就去soul,Not Recommended,1.2 hrs on record,世界上最好玩的游戏
2101405114,Not Recommended,0.6 hrs on record,慕名而来打差评
Ath0s,Not Recommended,0.1 hrs on record,又臭又长的新手教程，又臭又长的任务关卡，垃圾游戏浪费时间
damao_Offical,Not Recommended,2.4 hrs on record,走流程
大大大豆子,Not Recommended,0.1 hrs on record,必叫你好评如潮
一纸箱子,Not Recommended,0.2 hrs on record,本人2023年08月20日下午15：00在三国杀十周年中将A级将灵郭嘉突破至S时变成了1级孟获特于今日特地浪费半小时给三国杀刷差评
樱岛麻衣,Not Recommended,12.8 hrs on record,今天拉屎了
少爷网购爱入关,Not Recommended,0.8 hrs on record (0.5 hrs at review time),"用了两年的渣机终于要换了,来给个差评"
张泽军不穿上衣,Not Recommended,1.5 hrs on record,刚玩甚至不能联机
莎匕黎明杀机构式蓝熊,Recommended,27.0 hrs on record (19.1 hrs at review time),定叫你好评如潮
Forsaken,Not Recommended,0.1 hrs on record,打差评
黄金圣斗士,Not Recommended,1.3 hrs on record (1.2 hrs at review time),狗屎
冷吟闲醉,Recommended,8.7 hrs on record (3.6 hrs at review time),我喜欢玩原神
yama,Not Recommended,6.8 hrs on record,今天心情不好
鹏程zh,Recommended,4.8 hrs on record,非常好的游戏，使我的貂蝉旋转，爱来自山的东边
炒粉就是要放鸡精,Not Recommended,177.9 hrs on record (176.8 hrs at review time),能不能多送点抽卡道具啊，太抠门了。
yongxianh,Not Recommended,0.2 hrs on record,母亲节三国杀策划妈妈半价
Devil—joker,Not Recommended,0.2 hrs on record,差评无需多言
fujykb,Not Recommended,0.1 hrs on record,心情不好，打个差评
2474083593,Not Recommended,12.9 hrs on record (7.0 hrs at review time),sm狗卡
穗儿,Not Recommended,1.0 hrs on record (0.9 hrs at review time),太好玩了
请用“我再也不”造句,Not Recommended,589.7 hrs on record (577.4 hrs at review time),要考试了有点紧张，来打个差评
奇怪的上单,Not Recommended,0.2 hrs on record,牌堆不随机，比如新手玩黄盖必定摸到ak，队友也很可能是人机，就是骗你上头。武将强度极其不平衡，四万的武将五百个免费武将都打不过
篱,Not Recommended,470.9 hrs on record (468.1 hrs at review time),beyound三国杀，今天打22全是偏将军神力
小镇陈平安,Not Recommended,0.6 hrs on record (0.5 hrs at review time),23级加不了好友，顶让你好评如潮
Hyikou,Not Recommended,76.7 hrs on record (49.2 hrs at review time),真是美味啊
峰妹妹,Not Recommended,2.9 hrs on record,快中考了，打个差评
So you also play Genshin Impact,Not Recommended,85.7 hrs on record (82.0 hrs at review time),不投差评 为什么还来打三国杀 是因为没键盘么
Mh1in,Not Recommended,2.4 hrs on record (2.3 hrs at review time),狗屎
刘农dev1ce,Recommended,7.4 hrs on record (7.4 hrs at review time),好！
小kun鸡,Recommended,3.5 hrs on record,好玩爱玩
Yhs,Not Recommended,0.7 hrs on record,没事，就想点差评
2770850164,Recommended,6.1 hrs on record (3.2 hrs at review time),感觉我不打差评就会被群殴
𝓖𝓱𝓸𝓼𝓽,Not Recommended,62.6 hrs on record (62.0 hrs at review time),想买新背景了，所以我特意跑来三国杀打个差评，希望各位将军能助我一臂之力😘
sapphire,Not Recommended,0.2 hrs on record,今天没🦌，所以差评
emeraldSSF,Not Recommended,0.2 hrs on record,史
3391720676,Not Recommended,0.2 hrs on record,史
寒灯纸上梨花雨谅,Not Recommended,0.4 hrs on record,很好玩的垃圾
1026121817,Recommended,0.3 hrs on record,必须好评！跟美国Take-Two间谍游戏公司相比，你得好评！旗下游戏无主之地2，R星荒野大镖客救赎，R星GTA5。篮球2K系列等等
THE UNKILLABLE DEMON KING,Not Recommended,48.7 hrs on record (43.7 hrs at review time),神人游戏
夜雨声烦,Not Recommended,8.2 hrs on record,记得给战争雷霆一个差评
嘤嘤嘤,Not Recommended,0.3 hrs on record,好评如潮
旭日东升,Recommended,0.1 hrs on record,T2让我干的，如果你们去给t2的游戏刷差评，那么我也改成差评。
sans,Not Recommended,22.0 hrs on record (19.2 hrs at review time),购卡是孙哮喘创建的
莫言,Not Recommended,10.5 hrs on record (8.7 hrs at review time),sb狗卡
因偷吃他人贡品而被数千名受害者家属通缉中,Not Recommended,7.3 hrs on record,致各位三国杀玩家：你们再不去给2k和T2刷差评，我可就要给三国杀刷好评了
Z164,Recommended,21.4 hrs on record (13.2 hrs at review time),好评如潮
MCOMK,Not Recommended,16.1 hrs on record (8.0 hrs at review time),利欲熏心
MurderBYPride,Not Recommended,0.2 hrs on record,豪赤
xize,Not Recommended,18.2 hrs on record,垄断狗，不氪金不给好牌恶心游戏
我沐浴在鲜血中,Not Recommended,5.2 hrs on record,今天天气不好
扣也巨轮他,Not Recommended,13.2 hrs on record (12.7 hrs at review time),sb
kanny,Not Recommended,7.1 hrs on record (5.6 hrs at review time),三国杀特色
Amato,Not Recommended,3.2 hrs on record,哈哈哈哈哈哈
耄耋の夢から目を覚,Not Recommended,1.0 hrs on record (0.9 hrs at review time),垃圾
博企得银晶,Not Recommended,0.1 hrs on record,大学生要赶ddl结果却用不了豆包。很生气于是来三国杀打个差评
nashengdangge,Recommended,6.3 hrs on record (5.1 hrs at review time),好玩 爱玩
玫瑰泡啤酒,Not Recommended,6.1 hrs on record (5.9 hrs at review time),闲的没事给三国杀刷个差评吧
69扶墙对抗,Not Recommended,72.9 hrs on record,狗卡，控牌堆，诗
小曹子,Not Recommended,15.0 hrs on record (11.5 hrs at review time),期末周复习不下去了，特地来三国杀打个差评消消气
TARO,Not Recommended,14.6 hrs on record,匡扶了汉室500大洋，然后感受到了司马策划是什么，大汉复兴指日可待！
闲的盐,Not Recommended,1.8 hrs on record,差评
奶茶大圣代QwQ,Not Recommended,10.4 hrs on record (9.4 hrs at review time),高考打了三天三国杀导致错过了都怪三国杀，对了高考是qq登录吗，还是填uid
