用户名,推荐,游戏时长,评论
Virterra,Not Recommended,31.1 hrs on record (5.1 hrs at review time),想和朋友联个机，一会系统维护中加不了好友，一会又是好友界面一直在加载中，一会又是让你去凑武将，SB公司nmsl吗纯纯恶心人
烟花易冷_1914,Not Recommended,35.0 hrs on record (20.0 hrs at review time),大败而归
Shindouamane,Not Recommended,1.4 hrs on record,三国杀太好玩了
ligebao(迷惘的彼方),Not Recommended,29.0 hrs on record (0.5 hrs at review time),差评
玄奈,Not Recommended,1.3 hrs on record,不知道干什么了，来三国杀打个差评。
3535246022,Not Recommended,3.6 hrs on record,想买新头像了，所以我特意跑来三国杀打个差评，希望各位将军能助我一臂之力
Alan,Not Recommended,1.1 hrs on record (0.5 hrs at review time),差评
2070001859,Not Recommended,1.2 hrs on record,想买新头像了，所以我特意跑来三国杀打个差评，希望各位将军能助我一臂之力
xxl_114514,Recommended,117.7 hrs on record (111.9 hrs at review time),66
1958220309,Not Recommended,211.2 hrs on record (200.8 hrs at review time),一天就赢了一把，要啥啥不来
GodY,Not Recommended,944.6 hrs on record (938.7 hrs at review time),goushi
tmd甘,Recommended,27.2 hrs on record (2.2 hrs at review time),朋友说很好玩
三四五66,Not Recommended,1.7 hrs on record (0.2 hrs at review time),差评
樱高轻音部第一机枪手,Not Recommended,8.3 hrs on record,打完三国杀，三角洲一把都没撤出去，都怪垃圾三国杀
无敌爆龙战士,Recommended,0.1 hrs on record,好玩爱玩
Kriswu_1106,Not Recommended,0.2 hrs on record,我就是闲着没事刷个差评
Weinian_6,Not Recommended,0.2 hrs on record,匡扶汉室！
奕清,Not Recommended,47.8 hrs on record (33.0 hrs at review time),我定叫你好评如潮
Lummo,Not Recommended,0.1 hrs on record,跑刀让一脚踢死了，来打个差评
_GGc,Not Recommended,0.1 hrs on record,不能创房间 差评。
tell枯木,Not Recommended,27.7 hrs on record (26.6 hrs at review time),纯sb游戏
O.O,Not Recommended,6.2 hrs on record,不出非洲之星，都怪三国杀
iCamille,Not Recommended,0.7 hrs on record,好玩，必须五星好评，不过有四颗星被大宝盖住了
辰荒,Recommended,20.2 hrs on record (20.1 hrs at review time),好玩
活了十亿岁,Not Recommended,14.4 hrs on record,斗地主新出的活动太好玩了，过来给三国杀打个差评
Mochex,Not Recommended,2.8 hrs on record (1.2 hrs at review time),肚子饿了，打个差评。
3049045016,Not Recommended,6.1 hrs on record,jy
踏实的小杨,Not Recommended,43.7 hrs on record (43.7 hrs at review time),终于能写评测了
taijutsu enjoyer,Not Recommended,27.8 hrs on record (24.0 hrs at review time),玩这个sb游戏的都沾点
有梦想的憨呀,Not Recommended,0.3 hrs on record,在三国杀里面找不到福利姬，差评
墨,Not Recommended,26.1 hrs on record (8.8 hrs at review time),太好玩了
皮炎有点阳,Recommended,1.2 hrs on record,⑩
鹅,Not Recommended,0.2 hrs on record,今天出门被太阳晒了，给个差评
Private Forrest Gump,Not Recommended,33.3 hrs on record (19.3 hrs at review time),NB，掏出诸葛卧龙结果所有人都偷偷藏了张无懈可击在那里烧条，我为了自证牌都打光了。有时候手里没有黑牌也要问，4m游卡，取我麒麟弓来！！！！！！！
忆一以,Not Recommended,543.3 hrs on record (529.8 hrs at review time),傻逼玩意，更新一个啥破几把玩意，聊天锁踏马的三天，一天就知道出哪些傻逼武将，你自己看看你最近出的这些有几个像人的。
zat,Not Recommended,0.3 hrs on record,好评
rhettlee038,Not Recommended,98.9 hrs on record (95.1 hrs at review time),跟斯勒姆一样的策划
2947759197,Not Recommended,11.3 hrs on record (7.8 hrs at review time),66
白毛萝莉大将军,Not Recommended,0.4 hrs on record (0.2 hrs at review time),闲的没事打个差评
我是菜逼,Recommended,84.9 hrs on record (78.8 hrs at review time),好玩
2801696544,Not Recommended,5.1 hrs on record (3.0 hrs at review time),垃圾不充钱玩不了
檀,Not Recommended,32.2 hrs on record (23.7 hrs at review time),不平衡
wjgoca,Not Recommended,166.2 hrs on record (84.7 hrs at review time),白嫖党还是别玩了，充钱买武将就无敌
xxx,Not Recommended,54.9 hrs on record (0.9 hrs at review time),屎
瑷,Not Recommended,0.1 hrs on record,我们期末考试好像是三国杀策划发明的垃圾游戏傻鸟策划
Sakura,Not Recommended,1.0 hrs on record,想买新头像了，所以我特意跑来三国杀打个差评，希望各位将军能助我一臂之力。
能猫,Not Recommended,228.7 hrs on record (148.2 hrs at review time),lj
76561199415919451,Not Recommended,9.9 hrs on record (1.2 hrs at review time),想买新头像了，所以我特意跑来三国杀打个差评，希望各位将军能助我一臂之力
2124276242,Not Recommended,489.8 hrs on record (487.5 hrs at review time),一点也不好玩
mh20070623,Not Recommended,37.0 hrs on record (36.4 hrs at review time),今天考试了
风,Not Recommended,5.6 hrs on record,这平衡无敌了，必须差评
1181960364,Not Recommended,10.8 hrs on record,最平衡的游戏，新手刚出新手村就被秒，连对面技能都不知道
TLxjy,Not Recommended,12.7 hrs on record (12.0 hrs at review time),2025.6.5 游戏打开慢 差评
joker,Not Recommended,11.0 hrs on record (10.7 hrs at review time),豪丸但是给差评
干桂圆,Recommended,12.4 hrs on record (9.8 hrs at review time),今天刚玩，到40级，体验还好，零氪也能玩的舒服，后续不清楚，到时候再评
律,Not Recommended,35.2 hrs on record (10.0 hrs at review time),傻逼狗卡
杂鱼~❤,Not Recommended,13.9 hrs on record,我期末考差了都怪狗卡
惜辞,Not Recommended,15.7 hrs on record (1.7 hrs at review time),好的，这里提供几个不同侧重点的三国杀差评模板，你可以根据自己的实际体验组合或修改：模板一：聚焦平衡性与氪金 (最常见痛点)标题：新将秒全场，情怀抵不过648？平衡稀碎，吃相难看！正文：玩了好多年的老玩家了，从线下卡牌到线上，情怀是真的有。但现在的三国杀（尤其是手杀）真的变味了！武将平衡彻底崩坏： 新出的祈福将、宝珠将一个比一个离谱，技能描述恨不得写满一页纸，开局自带+1马、仁王盾还带强命强伤？老武将（尤其是标准包和风林火山）在他们面前就是超级兵，毫无游戏体验。完全变成了“谁氪金多谁赢”的氪金游戏，策略性？不存在的。氪金无底洞，概率感人： 想玩新将？准备好你的钱包！动辄几百上千的祈福灯、宝珠，抽奖概率低得令人发指，重复率还高得离谱。648下去可能就听个响，抽到一堆空气（羽毛、雁翎）和早已满阶的垃圾将。零氪微氪玩家？只能看着土豪用神仙将碾压你。环境恶劣，毫无乐趣： 军争场全是阴间武将互殴，要么被秒杀，要么看神仙打架。斗地主也是地主选个阴间将1打2毫无压力。游戏的核心乐趣——策略、配合、博弈——被严重挤压。举报系统形同虚设，演员、嘴牌、逃跑屡见不鲜。优化敷衍，BUG不断： 都什么年代了，客户端还经常卡顿、闪退？一些技能描述模糊不清，结算BUG时有发生。客服效率低下，反馈问题石沉大海。总结： 一手好牌打得稀烂！曾经的经典桌游，如今只剩下赤裸裸的圈钱和失衡的游戏环境。情怀被消耗殆尽，不建议新玩家入坑，老玩家也请谨慎回坑，心累！模板二：聚焦游戏环境与策划运营标题：阴间横行，演员遍地！策划装死，情怀喂狗！正文：给一星都嫌多！现在的三国杀环境简直是灾难！阴间武将泛滥： 军争、斗地主、排位，哪哪都是技能逆天的新将，老玩家熟悉的武将基本绝迹。游戏变成了“猜猜谁充钱更多”和“看谁的将更超模”，技术？配合？那是什么？玩家素质断崖下跌： 军争场演员遍地走，乱打、乱跳身份、故意送人头是家常便饭。喷子、嘴牌侠无处不在，严重影响心情。举报？呵呵，有用吗？惩罚力度约等于零。策划傲慢，运营摆烂： 玩家反馈的平衡问题、环境问题、BUG问题，策划永远装聋作哑。眼里只有KPI，疯狂出氪金新将圈钱，对游戏核心体验的崩坏视而不见。活动越来越抠门，福利越来越少，逼氪意图写在脸上。模式创新乏力： 除了换皮活动场，核心玩法多少年没实质性更新了？玩来玩去就那么几个模式，早就腻了。总结： 游戏环境乌烟瘴气，策划运营毫无作为。玩家体验？不存在的，只是氪金流水线上的韭菜罢了。对这款游戏和它的运营团队彻底失望。快跑！模板三：聚焦重复性与逼肝逼氪标题：又肝又氪，乐趣全无！单调重复，毫无诚意！正文：玩三国杀像上班！每天被各种任务绑架，不肝？奖励拿不到，武将升不了阶。不氪？新出的强力武将和你无关。逼肝严重： 日活、周活、各种活动任务，要求你每天上线打满多少局、用特定武将/模式赢多少场 ……为了那点蚊子腿奖励，不得不花费大量时间做重复劳动，完全失去了游戏的休闲乐趣。逼氪赤裸： 几乎所有能提升强度、获得强力新武将的途径都和氪金挂钩。月卡、通行证、各种礼包、抽奖……层出不穷。不花钱或者花得少，就只能玩下水道武将，被氪佬按在地上摩擦。玩法重复枯燥： 核心模式（军争、斗地主、排位）玩法多年不变，玩久了极其乏味。活动场也大多是旧瓶装新酒，缺乏真正有创意、有趣味的新模式。新鲜感很快耗尽。资源获取抠门： 银两、将魂、各种材料获取渠道少，数量抠门。想白嫖一个心仪的武将？做好攒半年一年的准备吧。升阶？更是遥遥无期。总结： 游戏体验的核心变成了“打工”和“付费”，而不是享受策略对战的乐趣。设计思路完全围绕着如何最大化玩家在线时长和付费额度，诚意荡然无存。累了，卸载保平安。
1826713745,Not Recommended,70.0 hrs on record (55.8 hrs at review time),傻逼发牌员
带我下地狱,Not Recommended,0.1 hrs on record,匡扶汉室
我求你了快去写作业吧,Not Recommended,0.1 hrs on record,欸？好多差评呀
土豆13号,Not Recommended,0.2 hrs on record,好玩，爱玩。
Edwin,Not Recommended,25.2 hrs on record (6.0 hrs at review time),依照惯例，必须差评
Kris Wu,Not Recommended,264.9 hrs on record (258.0 hrs at review time),狗屎
熊吃鱼,Not Recommended,1.2 hrs on record,曼巴out
倾许情绪ing,Not Recommended,4.3 hrs on record,嘶，今天下午拿饮料磕到甲沟炎了
派,Not Recommended,0.2 hrs on record,想买新头像了，所以我特意跑来三国杀打个差评，希望各位将军能助我一臂之力
laowushi,Not Recommended,35.6 hrs on record (23.7 hrs at review time),今天网卡，差评今天卧推被空杆压了，差评2025/6/6今天有氧时有小情侣在我边上吵架，差评2025/6/7我是你大坝了，到我出牌就卡，差评2025/6/8今天挨雨淋了，差评2025/6/9
Fanteisk,Not Recommended,1.0 hrs on record,今天心情不好，来刷个差评
小孩哪里有腰,Not Recommended,15.7 hrs on record (13.1 hrs at review time),说出吾名逗汝一笑，吾奶零零上将邢道荣
wy_player,Recommended,263.5 hrs on record (130.1 hrs at review time),虽然肝氪，但是有意思，低配置电脑游戏选择不多
Memorial,Not Recommended,0.1 hrs on record,活该这傻逼游戏倒数第一，死妈游戏赶紧倒闭吧
Suguri. Fawkes,Not Recommended,203.9 hrs on record (160.2 hrs at review time),我草拟吗傻逼玩意，都tm几天了，还不能公屏讲话，你知道我们tmd现在打8人局有多tm委屈么我日你大爷的狗卡。
萨了你码分尼一半,Not Recommended,0.1 hrs on record,昨天吃外卖吃到蟑螂了 撒比商家没沐了什么 你问我为什么昨天的事今天给三国杀差评？因为关注永雏塔菲谢谢喵
boom,Recommended,59.8 hrs on record (10.9 hrs at review time),好游戏没日过孙笑川的可以试试
mature_happy,Not Recommended,0.5 hrs on record,今天心情不好了，给三国杀个差评。
Joker,Not Recommended,0.2 hrs on record (0.1 hrs at review time),很有精神的卡牌游戏，这款桌游以二战为主题展现了美苏英德日等国在战争上的厮杀。属于非常好的桌游了。推荐大家尝试。诶等一下，我是不是进错房间了？没关系，我把给Kards的好评改成差评就好了。
2778187286,Not Recommended,11.9 hrs on record (2.4 hrs at review time),md，我是黄盖，对面谋黄盖，平衡性太差了，差评
去码头整点薯条,Not Recommended,229.0 hrs on record (222.8 hrs at review time),购卡美吗
M1rckNi_水银刀,Not Recommended,21.7 hrs on record (10.8 hrs at review time),想买新头像了，所以我特意跑来三国杀打个差评，希望各位将军能助我一臂之力
Coco9,Not Recommended,18.1 hrs on record (14.4 hrs at review time),狗卡德行败坏，为人所不耻也
reo,Not Recommended,14.4 hrs on record (4.1 hrs at review time),支持
斑斑,Not Recommended,1.3 hrs on record,好评
KWSDER,Not Recommended,33.9 hrs on record (28.3 hrs at review time),sb
BUAIHEJIAJIU,Not Recommended,59.1 hrs on record (56.6 hrs at review time),lj游戏，sm策划天天控那个sm牌堆，没木吧刚开游戏映入眼帘的全是骗氪，给你们妈妈买棺材的吗？
伯乐看了都说好马,Not Recommended,148.3 hrs on record (144.5 hrs at review time),啥比司马购卡，控尼玛牌堆，玩个陈式锁什么来什么
みすず,Not Recommended,4.6 hrs on record (3.8 hrs at review time),兄弟们我的游标卡尺上怎么没有码啊
美丽骚货壮壮妈,Not Recommended,2.7 hrs on record,非常好的傻逼游戏，使我的几8旋转
辣味恰恰糖,Not Recommended,10.7 hrs on record (4.9 hrs at review time),垃圾
2597674155,Not Recommended,0.3 hrs on record,今天我生日，听说给三国杀差评会有人祝我生日快乐，陌生人你能祝我生日快乐吗
胡瓜碎颅杀,Not Recommended,0.4 hrs on record,那天，老师一脸严肃走进教室。他盯着我们，大声问道：“在座的各位，谁玩三国杀？”我看着旁边的几个同学颤颤巍巍的举起了手。随即，老师拿出一把ak47，对着那几位同学一顿突突。我们吓坏了，这时，老师说：“我们收到消息，我们班有一个三国杀玩家盗取了核按钮，现在我只能把我们班所有的三国杀玩家全部杀完才能预防核战争。”接着，老师继续说到：“我知道我们班里肯定不止刚刚那些三国杀玩家。”老师一顿操作，将袁神的照片投屏到教学白板上。班上不少同学没有忍住，大喊：“我超，袁。”“原来，你也玩袁神。”老师顺着声音，将那几个同学也全部击毙。然后，老师拿出了杀招，只见他举起了界孙权的照片，然后大声说到：“界孙权只是一个普通的武将。”这时，班上所有的三国杀玩家都忍不住了，纷纷大呼不可能：“感觉武诸葛不如界孙权...过牌”“那只是你的界孙权不会玩罢了”“不玩界孙权的人注定只能在下水道度过相对失败的一生”老师眼神一冷，拿起ak对着那些人突突突。这时，我站了出来，直接对着老师走过去。“老师，盗取核按钮的就是你吧。你盗取按钮，就是为了逼迫全世界三国杀玩家放弃界孙权这个精品之光。”老师一脸慌张：“你，你怎么知道的。”我一步一步向着他走过去，老师把枪对着我，射出一发发子弹，我却仿佛一个超人一般顶着那些子弹来到他面前。老师面色慌张，询问道：“你，你为什么跟个超人一样。”我微微摇头：“你不该诋毁界孙权的。”我看着老师崩溃的低下了头，他口中喃喃：“对不起，我错了，我承认界孙权是三国杀第一武将。”我满意的点了点头，发动了制衡，把地上的这群死掉的同学全部换成了活着的同学，甚至还多了一个同学。这，就是玩界孙权带给我的自信
111,Not Recommended,0.7 hrs on record,人机？
future,Not Recommended,26.8 hrs on record (26.6 hrs at review time),感觉不如三国杀
花园口战神,Not Recommended,19.5 hrs on record,三国杀太坏了居然在我玩钢4陕西神秘势力做局花园口决堤导致我却补给
None0626,Recommended,2.7 hrs on record (1.3 hrs at review time),建议当选TGA最佳游戏，太好玩了，一把打完被队友给了五个大嘴巴子
ds510525,Not Recommended,363.9 hrs on record (319.9 hrs at review time),控牌顶真不愧是死全家的三国杀
咯咯咯哈,Not Recommended,0.2 hrs on record,孙笑川是三国杀培养出来的，该死的三国杀
乔瑟夫,Recommended,243.5 hrs on record (243.3 hrs at review time),电脑里有一款恶心人的，都是阴间武将的，平民就是给氪佬当玩具的，低段位玩家不带大脑思考的，玩家素质良莠不齐，一言不合就乱喷人的，垃圾游戏
房陈米,Not Recommended,16.8 hrs on record (4.6 hrs at review time),符辛被削废了，都是三国杀的错
孤独的野牛,Not Recommended,20.3 hrs on record,玩三角洲刚出红就被打死了，该死的三国杀居然有10%的好评，差评
哇贞德食泥鸭,Not Recommended,0.7 hrs on record (0.3 hrs at review time),天皇陛下就是三国杀的特派杀手
78+13=91,Not Recommended,3.4 hrs on record,♥♥♥♥
李信大王666,Not Recommended,30.4 hrs on record,我换了个手机账号怎么就没了呀，差评
Umbraeter,Not Recommended,1.5 hrs on record (0.2 hrs at review time),不知道说什么但总之先刷个差评
不加陌生好友请勿打扰,Not Recommended,135.2 hrs on record (89.4 hrs at review time),杭州油卡傻逼 游戏里河南赵段XX全是傻逼，垃圾游戏里面全是垃圾新手教程教充值的傻逼游戏
七葬,Not Recommended,41.5 hrs on record (7.5 hrs at review time),sb游戏，60多级了还不给休闲场是吧？开军阶要周瑜，领周瑜要军阶，搁着死循环呢？难怪被骂成坨屎
邝氏奇才,Recommended,31.8 hrs on record (13.0 hrs at review time),摸鱼小游戏
装甜妹被暴打,Recommended,11.1 hrs on record (10.1 hrs at review time),敬回忆
Chiaki Nanami,Not Recommended,0.3 hrs on record,有点意思 可以写差评了
杰,Not Recommended,4.5 hrs on record (4.1 hrs at review time),sb游戏、
索马里海盗,Not Recommended,20.5 hrs on record (15.7 hrs at review time),司马游戏
1071258464,Not Recommended,15.2 hrs on record (4.8 hrs at review time),垃圾游戏，闪退如喝水
咕咕咕,Not Recommended,0.7 hrs on record,买了泡姆泡姆，特意来支持一下三国杀
Tcci,Not Recommended,2.0 hrs on record,纯撒比游戏来的，进游戏不能加好友不能组队不能建房间，要先打几个小时的人机才能正常游戏，这边建议把册划脑子掏出来先洗一洗，左右脑互搏？册死你的马
小梦,Not Recommended,0.1 hrs on record,666
江江江,Not Recommended,0.3 hrs on record,明天上高数了，不高兴，给你点个赞
0km,Not Recommended,0.3 hrs on record,沙比，史都吃不上热的
拿了橘子跑啊,Recommended,82.1 hrs on record (50.9 hrs at review time),非常公平的游戏，没充钱就是打不过充钱的，我冲了好几万不是来跟你公平竞争的。
hhhhhh,Not Recommended,28.6 hrs on record (15.7 hrs at review time),心情不好，打个差评
地表的宁静,Not Recommended,18.3 hrs on record (9.3 hrs at review time),一把游戏，掉线三次；打个排位，别人逆天武将一点办法都没有。
C37H67NO13_,Not Recommended,0.6 hrs on record,端午节假期怎么这么快就结束了？？？资本又在做局了万恶的三国杀
Visher,Not Recommended,0.2 hrs on record,太麻烦了。
清晨,Recommended,49.9 hrs on record,这是一款非常好玩的游戏，我十分的喜欢。希望大家多多给他好评，谢谢。
leekieguan9939,Not Recommended,0.6 hrs on record,定叫它差评如潮
落榜美术生,Not Recommended,0.6 hrs on record,狗卡无码
狂舔白丝萝莉狱卒,Not Recommended,0.2 hrs on record,端午节结束了，心情不好
DuoDuobss,Not Recommended,10.5 hrs on record (10.2 hrs at review time),很爽 定叫你好评如潮
nao_0322,Not Recommended,5.0 hrs on record,什么时候能出一个一键踢出私募队友的按键
夏rap,Not Recommended,0.8 hrs on record,垃圾游戏，狗都不玩
Eric,Not Recommended,0.6 hrs on record,怎么我的端午假期这么快就要结束了？明明感觉什么都没有做，怀疑有人做局阴我，可是我动了谁的蛋糕？三国杀你怎么这么坏啊？
慕青,Recommended,0.2 hrs on record (0.2 hrs at review time),今天永劫玩到雷🔪了，爽到了，给个好评
CSHG,Not Recommended,4.2 hrs on record (0.6 hrs at review time),快高考了，三国杀扰乱天下学子心智，差评！
酸辣德子,Not Recommended,2.3 hrs on record (0.6 hrs at review time),质量太差了，特别不好用，很难受，有些捂脚，洗的效果也不够干净，版型不合适，与商家描述不一致，孩子们用了都不喜欢，物流速度也很慢，服务态度特别差，长期使用伤牙龈，洗完头发更油了，很不满意的一次体验。没吃过石的有福了
Match_Fire,Not Recommended,0.7 hrs on record,狗卡还我端午节！
2317824584,Not Recommended,0.4 hrs on record (0.1 hrs at review time),好玩捏
超牛厨师长,Not Recommended,39.0 hrs on record (29.9 hrs at review time),laji
营养不良综合征,Not Recommended,0.1 hrs on record,卡五木
夕颜凝露容光艳,Not Recommended,12.0 hrs on record (3.7 hrs at review time),真尼玛好玩，购卡纯弱智
悠悠苍天核爆于我,Not Recommended,2.3 hrs on record (2.1 hrs at review time),我叫我朋友来陪我三国杀，他说他没钱
芝士土拨鼠,Not Recommended,2.0 hrs on record,今天心情好
初心,Not Recommended,67.4 hrs on record (47.1 hrs at review time),厮马三国杀闪电追着我劈，就因为我没充钱吗？
夏二三,Not Recommended,470.9 hrs on record (407.1 hrs at review time),傻逼三国杀
三笠真好看,Not Recommended,0.7 hrs on record,屎一样的游戏 为了大汉 我不能不差评
吾为点刀,Not Recommended,0.3 hrs on record,今天心情不好
888,Not Recommended,45.5 hrs on record (3.3 hrs at review time),加个好友这么费劲，差评
七家之主,Not Recommended,100.7 hrs on record,老实说，绝地潜兵最近的好评是不是你游玩家去刷的！真可恶啊，为了保证自己的差评第一，竟然给竞争对手刷好评。
457955905,Not Recommended,5.6 hrs on record (5.3 hrs at review time),....
"""Happiness”",Not Recommended,0.1 hrs on record,想买新头像了，所以我特意跑来三国杀打个差评，希望各位将军能助我一臂之力
王末,Not Recommended,61.5 hrs on record (30.0 hrs at review time),今天心情很好
我看过流星坠落地面,Not Recommended,0.2 hrs on record,怎么过完新手任务就要我充钱啊，还好我没钱
能力越小 责任越小,Recommended,318.6 hrs on record (305.5 hrs at review time),今天三抽中了神华佗皮肤
卖鱼强,Not Recommended,20.6 hrs on record,狗卡怎么这么坏啊
你是我的劫,Not Recommended,0.1 hrs on record,我3天的端午假期呢？怎么刷的一下就没了？肯定是三国杀的锅。差评差评 另外想买消光2资料包了，望各位卖房、卖车、身背百万贷款的大元帅、大司马助我一臂之力。
你不,Not Recommended,1.2 hrs on record (0.7 hrs at review time),这狗逼游戏存在的意义就是给玩家喂屎吧？游卡策划脑子里塞的是化粪池里的蛆虫还是董卓腚眼里的痔疮？老子玩你妈个逼的破游戏，服务器卡得跟被张角雷劈了似的，点个开始游戏能卡出兵马俑复活的 Loading 界面，你们是用东汉末年的竹简服务器在运营吗？客服比 TM 的刘禅还废物，反馈问题永远是 “亲这边建议重启呢”，🤗🤗服务器三天两头爆炸，一维护就是十个小时，你们是在服务器里给策划办丧礼吗？更新一次能多出 400 个 BUG，修复 BUG 的速度比乌龟爬还慢，合着你们程序员是用脚趾头敲代码的？社交系统里全是开挂的人机，跟他们玩比跟董卓喝酒还恶心，你们是不是把《植物大战僵尸》的僵尸代码直接搬过来了？总结：《三国杀》就是策划排泄出来的一坨热翔，建议你们赶紧把公司开到坟地里去，这样你们跟游戏一起入土的时候还能省点丧葬费，蒸蒸日上，🤗🤗最后想买新头像了，所以我特意跑来三国杀打个差评，希望各位将军能助我一臂之力🫡🫡
ChrisQ,Not Recommended,0.2 hrs on record,原神抽卡歪了心情不好所以打差评
蕉个朋友,Not Recommended,147.7 hrs on record (143.9 hrs at review time),武将阴的没边，不充钱你还想当大将军？？
xiaoluck,Not Recommended,335.8 hrs on record (325.0 hrs at review time),狗卡除了坑钱没有其它优点
潮汕人民注意米和锅！,Not Recommended,757.3 hrs on record (753.3 hrs at review time),好
NorthernCross,Recommended,2.3 hrs on record (1.3 hrs at review time),今天导管了
初音miku39,Recommended,54.4 hrs on record (11.9 hrs at review time),好玩
有点小u伤,Not Recommended,20.5 hrs on record (1.4 hrs at review time),nb一退这破游戏就黑屏了666
Mz,Not Recommended,0.3 hrs on record (0.3 hrs at review time),太好玩了
幽篁,Not Recommended,0.2 hrs on record,纯粹的屎，无语到极致了，赶紧死了给别人腾位子
Sakuraღ,Not Recommended,23.8 hrs on record (23.7 hrs at review time),刚刚吃完饭，打个差评先
香甜软糯大香蕉,Not Recommended,10.4 hrs on record (5.5 hrs at review time),好游戏
siyouyugu2333,Not Recommended,21.5 hrs on record (5.1 hrs at review time),定叫你有来无回！
000,Not Recommended,40.1 hrs on record (0.1 hrs at review time),没玩过慕名而来
与君共饮,Not Recommended,5.4 hrs on record,心情不好
Darcy恰柠檬,Not Recommended,64.3 hrs on record (9.9 hrs at review time),垃圾游戏，影响家庭和睦
梦回必想,Not Recommended,0.2 hrs on record,我真的很需要steam点数来装饰我的steam，所以我特意跑来三国杀打个差评，希望各位将军能助我一臂之力，球球了
茅坑蹲塞班,Not Recommended,0.5 hrs on record (0.2 hrs at review time),完美又被炸鱼了，必须差评
哈利波特大,Not Recommended,6.3 hrs on record,英雄卡牌之间的技能差距太大了
无敌辣椒大王,Not Recommended,8.2 hrs on record (7.0 hrs at review time),我今天吃饭了
CN_Tianshuai,Recommended,30.7 hrs on record (12.0 hrs at review time),好玩
sy_stem,Not Recommended,74.7 hrs on record,突然发现对手不是机器人了，怎么办？
Dog King,Not Recommended,9.6 hrs on record (8.8 hrs at review time),打瓦找到妈妈了，特意给三国杀刷个好评
玉米真好吃,Not Recommended,15.8 hrs on record (10.4 hrs at review time),少羽最爱啊啊啊啊
一脚踹飞无惨,Not Recommended,37.5 hrs on record,狗屎
QIYYIN,Not Recommended,125.9 hrs on record (111.5 hrs at review time),狗卡还我青春
两年半老兵菜虚鲲,Not Recommended,0.2 hrs on record (0.1 hrs at review time),面杀又犯蠢了，来打个差评
卡了,Not Recommended,0.2 hrs on record,你说的对，但是三国杀官方有152.8万粉丝，黑神话悟空有157.3万粉丝，两边打起来，狗卡一个人就要打310.7万人。将军乃朝中肱骨，国之栋梁，天下暴乱，当立不世之功，救天下百姓，而非酒池肉林，为狗卡募兵祸害天下百姓，使百姓易子而食，不为勤王之上将，固政之名士，实乃君旁之佞臣，大汉之败类，值多难之秋，将军若广刷差评，断勾卡之粮，诛策划之马，让百姓共观，威震九州，名垂青史，不枉此生
Lucifer,Not Recommended,0.5 hrs on record,做这个游戏的家里真该请高人了，全家活暗暗的东西
小小鸢,Recommended,1.2 hrs on record,cs策划不让加好友，脑瘫一个。
3259240542,Recommended,0.1 hrs on record,"今天太开心了,来个差评助助兴"
清欢没有极限,Not Recommended,278.0 hrs on record (242.4 hrs at review time),史，周宣的限定吃保底吃了一千多
电脑玩家丁真,Not Recommended,0.1 hrs on record,三国杀干的，定叫他差评如潮
